tipo,titulo,diretor,pais,categoria,continente
Movie,Tenacious D in The Pick of Destiny,Liam Lynch,"United States, Germany","Comedies, Cult Movies, Music & Musicals",North America
Movie,Bigfoot Family,"Jérémie Degruson, Ben Stassen","Belgium, France","Children & Family Movies, Comedies",Europe
Movie,Captain Fantastic,Matt Ross,United States,"Comedies, Dramas, Independent Movies",North America
Movie,Crazy About Her,Dani de la Orden,Spain,"Comedies, International Movies, Romantic Movies",Europe
Movie,Fuga,Pablo Larraín,"Argentina, Chile","Dramas, Independent Movies, International Movies",South America
Movie,No Escape,John Erick Dowdle,"United States, Thailand",Action & Adventure,North America
Movie,Our Idiot Brother,Jesse Peretz,United States,"Comedies, Dramas, Independent Movies",North America
Movie,The Girl on the Train,Ribhu Dasgupta,India,"International Movies, Thrillers",Asia
Movie,Tony Manero,Pablo Larraín,"Chile, Brazil","Dramas, Independent Movies, International Movies",South America
Movie,Who Am I,Baran bo Odar,Germany,"International Movies, Thrillers",Europe
Movie,Geez & Ann,Rizki Balki,Indonesia,"Dramas, International Movies, Romantic Movies",Asia
Movie,"Blue, Painful, Fragile",Shunsuke Kariyama,Japan,"International Movies, Thrillers",Asia
Movie,Brian Regan: On the Rocks,Troy Miller,United States,Stand-Up Comedy,North America
Movie,Red,Tirumala Kishore,India,"Dramas, International Movies",Asia
Movie,The Conjuring,James Wan,United States,"Horror Movies, Thrillers",North America
Movie,The Conjuring 2,James Wan,"Canada, United States, United Kingdom",Horror Movies,North America
Movie,Classmates Minus,Huang Hsin-Yao,Taiwan,"Comedies, Dramas, Independent Movies",Asia
Movie,Operation Finale,Chris Weitz,United States,"Dramas, Thrillers",North America
Movie,I Care a Lot,J Blakeson,"United Kingdom, United States","Comedies, LGBTQ Movies, Thrillers",Europe
Movie,Love,Khalid Rahman,India,"Dramas, Independent Movies, International Movies",Asia
TV Show,Pitta Kathalu,"Tharun Bhascker Dhaassyam, B. V. Nandini Reddy, Nag Ashwin, Sankalp Reddy",India,"International TV Shows, TV Dramas",Asia
Movie,Eeb Allay Ooo!,Prateek Vats,India,"Comedies, Dramas, Independent Movies",Asia
Movie,No Escape Room,Alex Merkin,United States,Horror Movies,North America
Movie,Animals on the Loose: A You vs. Wild Movie,Ben Simms,United States,Children & Family Movies,North America
Movie,Awara Paagal Deewana,Vikram Bhatt,India,"Action & Adventure, Comedies, Dramas",Asia
Movie,The Resurrection of Gavin Stone,Dallas Jenkins,United States,"Children & Family Movies, Comedies, Dramas",North America
Movie,"My Teacher, My Obsession",Damián Romay,United States,Thrillers,North America
Movie,Namaste Wahala,Hamisha Daryani Ahuja,Nigeria,"Comedies, Dramas, International Movies",Africa
Movie,Monsoon,Hong Khaou,United Kingdom,"Dramas, Independent Movies, LGBTQ Movies",Europe
Movie,Hate by Dani Rovira,Mario Briongos,Spain,Stand-Up Comedy,Europe
Movie,Mundina Nildana,Vinay Bharadwaj,India,"Dramas, International Movies, Romantic Movies",Asia
Movie,To All The Boys: Always And Forever,Michael Fimognari,United States,"Comedies, Romantic Movies",North America
Movie,Xico's Journey,Eric D. Cabello Díaz,Mexico,Children & Family Movies,North America
Movie,Growing up and other problems,Clara Martínez-Lázaro,Spain,"Comedies, Dramas, International Movies",Europe
Movie,Layla Majnun,Monty Tiwa,Indonesia,"Dramas, International Movies, Romantic Movies",Asia
Movie,Middle of Nowhere,Ava DuVernay,United States,"Dramas, Independent Movies, Romantic Movies",North America
Movie,Red Dot,Alain Darborg,Sweden,"International Movies, Thrillers",Europe
Movie,Squared Love,Filip Zylber,Poland,"Comedies, International Movies, Romantic Movies",Europe
Movie,This Is the Life,Ava DuVernay,United States,"Documentaries, Music & Musicals",North America
Movie,The Misadventures of Hedi and Cokeman,Julien Royal,France,"Comedies, International Movies",Europe
Movie,The World We Make,Brian Baugh,United States,"Dramas, Romantic Movies",North America
Movie,War Dogs,Todd Phillips,"United States, Cambodia, Romania","Comedies, Dramas",North America
Movie,Monster Run,Henri Wong,China,"Action & Adventure, International Movies",Asia
Movie,Blanche Gardin: I talk to myself,Maïa Sandoz,France,Stand-Up Comedy,Europe
Movie,Doob: No Bed of Roses,Mostofa Sarwar Farooki,Bangladesh,"Dramas, Independent Movies, International Movies",Asia
Movie,Little Big Women,Joseph Hsu,Taiwan,"Dramas, International Movies",Asia
Movie,Malcolm & Marie,Sam Levinson,United States,"Dramas, Independent Movies",North America
Movie,Space Sweepers,Jo Sung-hee,South Korea,"Action & Adventure, Dramas, International Movies",Asia
Movie,The Last Paradiso,Rocco Ricciardulli,Italy,"Dramas, International Movies, Romantic Movies",Europe
Movie,The Yin-Yang Master: Dream Of Eternity,Guo Jingming,China,"Action & Adventure, International Movies",Asia
Movie,All My Friends Are Dead,Jan Belcl,Poland,"Comedies, Dramas, International Movies",Europe
Movie,Black Beach,Esteban Crespo,"Spain, Belgium, United States","Action & Adventure, International Movies",Europe
Movie,"Our Lady of San Juan, Four Centuries of Miracles",Noé González,Mexico,"Dramas, Faith & Spirituality, International Movies",North America
Movie,Beverly Hills Ninja,Dennis Dugan,United States,"Action & Adventure, Comedies",North America
Movie,Rocks,Sarah Gavron,United Kingdom,Dramas,Europe
Movie,Shutter Island,Martin Scorsese,United States,Thrillers,North America
Movie,The Bank Job,Roger Donaldson,"United Kingdom, United States, Australia","Dramas, International Movies, Thrillers",Europe
TV Show,The House Arrest of Us,Richard Arellano,Philippines,"International TV Shows, Romantic TV Shows, TV Comedies",Asia
Movie,Zathura,Jon Favreau,United States,"Children & Family Movies, Sci-Fi & Fantasy",North America
Movie,Fatima,Marco Pontecorvo,"Portugal, United States","Dramas, Faith & Spirituality",Europe
Movie,Hell Fest,Gregory Plotkin,United States,Horror Movies,North America
Movie,Below Zero,Lluís Quílez,Spain,"Action & Adventure, International Movies",Europe
Movie,Finding ‘Ohana,Jude Weng,United States,"Children & Family Movies, Comedies",North America
Movie,The Dig,Simon Stone,United Kingdom,"Dramas, International Movies",Europe
Movie,June & Kopi,Noviandra Santosa,Indonesia,"Children & Family Movies, Dramas, International Movies",Asia
Movie,Accomplice,Jeremy Grant,United States,"Documentaries, International Movies, Sports Movies",North America
Movie,Kilometers and Kilometers,Jeo Baby,India,"Comedies, Dramas, Independent Movies",Asia
Movie,Penguin Bloom,Glendyn Ivin,"Australia, United States","Children & Family Movies, Dramas",Oceania
Movie,Black Rose,Okey Oku,Nigeria,"Dramas, International Movies",Africa
Movie,So My Grandma’s a Lesbian!,Ángeles Reiné,"Portugal, Spain","Comedies, International Movies, LGBTQ Movies",Europe
Movie,The Next Three Days,Paul Haggis,"United States, France","Dramas, Thrillers",North America
Movie,The White Tiger,Ramin Bahrani,"India, United States",Dramas,Asia
Movie,Friendsgiving,Nicol Paone,United States,Comedies,North America
Movie,The Shadow of Violence,Nick Rowland,"United Kingdom, Ireland",Dramas,Europe
Movie,Cut Throat City,RZA,United States,Dramas,North America
Movie,Sightless,Cooper Karl,United States,Thrillers,North America
Movie,Homefront,Gary Fleder,United States,Action & Adventure,North America
Movie,A Monster Calls,J.A. Bayona,"United Kingdom, Spain, United States","Dramas, Sci-Fi & Fantasy",Europe
Movie,Death of Me,Darren Lynn Bousman,"United States, Thailand",Horror Movies,North America
Movie,Radium Girls,"Lydia Dean Pilcher, Ginny Mohler",United States,"Dramas, Independent Movies",North America
Movie,Double Dad,Cris D'Amato,Brazil,"Children & Family Movies, Comedies, Dramas",South America
Movie,Outside the Wire,Mikael Håfström,"Hungary, United States",Action & Adventure,Europe
Movie,Penguins of Madagascar: The Movie,"Eric Darnell, Simon J. Smith",United States,"Children & Family Movies, Comedies",North America
Movie,Pinkfong & Baby Shark's Space Adventure,Byeon Hee-sun,"United States, South Korea",Children & Family Movies,North America
Movie,The Vanished,Peter Facinelli,United States,Thrillers,North America
Movie,Tribhanga - Tedhi Medhi Crazy,Renuka Shahane,India,"Dramas, International Movies",Asia
Movie,What Would Sophia Loren Do?,Ross Kauffman,United States,Documentaries,North America
Movie,Wish You,Sung Do-jun,South Korea,"Dramas, International Movies, LGBTQ Movies",Asia
Movie,Tanda Tanya,Hanung Bramantyo,Indonesia,"Dramas, International Movies",Asia
Movie,The Heartbreak Club,"Charles Gozali, Bagus Bramanti",Indonesia,"Comedies, Dramas, International Movies",Asia
Movie,An Imperfect Murder,James Toback,United States,"Dramas, Thrillers",North America
Movie,Al acecho,Francisco D'Eufemia,Argentina,"International Movies, Thrillers",South America
TV Show,Last Tango in Halifax,Juliet May,United Kingdom,"British TV Shows, Romantic TV Shows, TV Dramas",Europe
Movie,The Intouchables,"Olivier Nakache, Éric Toledano",France,"Comedies, Dramas, International Movies",Europe
Movie,Apaharan,Prakash Jha,India,"Dramas, International Movies",Asia
Movie,BluffMaster!,Rohan Sippy,India,"Comedies, International Movies, Romantic Movies",Asia
Movie,Charming,Ross Venokur,"Canada, United States, Cayman Islands","Children & Family Movies, Comedies",North America
Movie,Gangaajal,Prakash Jha,India,"Dramas, International Movies",Asia
Movie,Is Love Enough? Sir,Rohena Gera,"India, France","Dramas, Independent Movies, International Movies",Asia
TV Show,The Idhun Chronicles,Maite Ruiz De Austri,Spain,"Anime Series, International TV Shows, Spanish-Language TV Shows",Europe
Movie,100% Halal,Jastis Arimba,Indonesia,"Dramas, International Movies",Asia
Movie,Leap!,"Eric Summer, Éric Warin","France, Canada","Children & Family Movies, Comedies",Europe
Movie,Pieces of a Woman,Kornél Mundruczó,"Canada, Hungary, United States",Dramas,North America
Movie,Tony Parker: The Final Shot,Florent Bodin,France,"Documentaries, International Movies, Sports Movies",Europe
Movie,Hello Brother,Sohail Khan,India,"Action & Adventure, Comedies, International Movies",Asia
Movie,Playing for Keeps,Gabriele Muccino,United States,"Comedies, Romantic Movies, Sports Movies",North America
Movie,Asphalt Burning,Hallvard Bræin,Norway,"Action & Adventure, Comedies, International Movies",Europe
Movie,Bad Grandpa .5,Jeff Tremaine,United States,Comedies,North America
Movie,Case 39,Christian Alvart,"United States, Canada","Horror Movies, Thrillers",North America
Movie,Eddie Murphy: Raw,Robert Townsend,United States,Stand-Up Comedy,North America
Movie,Full Out 2: You Got This!,Jeff Deverett,United States,"Children & Family Movies, Dramas, Sports Movies",North America
Movie,Gimme Shelter,Ron Krauss,United States,"Dramas, Independent Movies",North America
Movie,Good Burger,Brian Robbins,United States,"Children & Family Movies, Comedies",North America
Movie,Good Hair,Jeff Stilson,United States,Documentaries,North America
Movie,Into the Wild,Sean Penn,United States,"Action & Adventure, Dramas, Independent Movies",North America
Movie,London Heist,Mark McQueen,United Kingdom,Action & Adventure,Europe
Movie,Mean Girls 2,Melanie Mayron,United States,Comedies,North America
Movie,Mystic Pizza,Donald Petrie,United States,"Comedies, Dramas, Independent Movies",North America
TV Show,The Cat in the Hat Knows a Lot About That!,Tony Collingwood,"Canada, United Kingdom, United States",Kids' TV,North America
Movie,The Creative Brain,"Jennifer Beamish, Toby Trackman",United States,Documentaries,North America
Movie,Unknown,Jaume Collet-Serra,"United Kingdom, Germany, France, United States","Action & Adventure, Thrillers",Europe
Movie,What Happened to Mr. Cha?,Kim Dong-kyu,South Korea,"Comedies, International Movies",Asia
Movie,What's Eating Gilbert Grape,Lasse Hallström,United States,"Classic Movies, Dramas, Independent Movies",North America
Movie,Alaska Is a Drag,Shaz Bennett,United States,"Dramas, LGBTQ Movies",North America
Movie,Bobby Jasoos,Samar Shaikh,India,"Comedies, Dramas, International Movies",Asia
Movie,Tarung Sarung,Archie Hekagery,Indonesia,"Action & Adventure, Dramas, Faith & Spirituality",Asia
Movie,Too Handsome to Handle,Sabrina Rochelle Kalangie,Indonesia,"Comedies, Dramas, International Movies",Asia
Movie,The Rope Curse 2,Liao Shih-han,Taiwan,"Horror Movies, International Movies",Asia
Movie,Cops and Robbers,"Arnon Manor, Timothy Ware-Hill",United States,Dramas,North America
Movie,Rango,Gore Verbinski,"United States, Canada","Children & Family Movies, Comedies",North America
Movie,Death to 2020,"Al Campbell, Alice Mathias",United States,Comedies,North America
Movie,DNA,Maïwenn,"France, Algeria","Dramas, International Movies",Europe
Movie,The Magic School Bus Rides Again In the Zone,Richard Weston,Canada,Children & Family Movies,North America
Movie,AK vs AK,Vikramaditya Motwane,India,"Comedies, Dramas, International Movies",Asia
Movie,Isa Pa with Feelings,Prime Cruz,Philippines,"International Movies, Romantic Movies",Asia
Movie,We Can Be Heroes,Robert Rodriguez,United States,"Children & Family Movies, Comedies",North America
Movie,Bridezilla,Andibachtiar Yusuf,Indonesia,"Comedies, Dramas, International Movies",Asia
Movie,Cemara's Family,Yandy Laurens,Indonesia,"Children & Family Movies, Dramas, International Movies",Asia
Movie,"Hello, Love, Goodbye",Cathy Garcia-Molina,Philippines,"Dramas, International Movies, Romantic Movies",Asia
Movie,The History of Future Folk,"John Mitchell, Jeremy Kipp Walker",United States,"Action & Adventure, Comedies, Independent Movies",North America
Movie,The Midnight Sky,George Clooney,United States,Dramas,North America
Movie,Your Name Engraved Herein,Liu Kuang-hui,Taiwan,"Dramas, International Movies, LGBTQ Movies",Asia
Movie,After We Collided,Roger Kumble,United States,"Dramas, Romantic Movies",North America
Movie,London Hughes: To Catch a D*ck,Kristian Mercado,United States,Stand-Up Comedy,North America
Movie,QLIMAX THE SOURCE,"Daan Jansen, Stijn Verlinde",Netherlands,Music & Musicals,Europe
Movie,Shaun the Sheep: The Farmer’s Llamas,Jay Grace,United Kingdom,"Children & Family Movies, Comedies",Europe
Movie,"Ariana grande: excuse me, i love you",Paul Dugdale,United States,"Documentaries, Music & Musicals",North America
Movie,The Con Is On,James Haslam,"United States, United Kingdom",Comedies,North America
Movie,Mohamed Hussein,Muhammad Ali,Egypt,"Comedies, International Movies",Africa
Movie,Rhys Nicholson Live at the Athenaeum,Thomas Toby Parkinson,United Kingdom,Stand-Up Comedy,Europe
Movie,Atlas Shrugged: Part II,John Putch,United States,Dramas,North America
Movie,Guest House,Sam Macaroni,United States,Comedies,North America
Movie,Ma Rainey's Black Bottom,George C. Wolfe,United States,"Dramas, Music & Musicals",North America
Movie,Mukhsin,Yasmin Ahmad,Malaysia,"Children & Family Movies, Comedies, Dramas",Asia
TV Show,Paava Kadhaigal,"Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran",India,"International TV Shows, TV Dramas",Asia
Movie,Rabun,Yasmin Ahmad,Malaysia,"Dramas, Independent Movies, International Movies",Asia
Movie,Talentime,Yasmin Ahmad,Malaysia,"Dramas, International Movies, Romantic Movies",Asia
Movie,An Unremarkable Christmas,Juan Camilo Pinzon,Colombia,"Comedies, Dramas, International Movies",South America
Movie,Braven,Lin Oeding,Canada,Action & Adventure,North America
Movie,Eggnoid: Love & Time Portal,Naya Anindita,Indonesia,"Dramas, International Movies, Romantic Movies",Asia
Movie,Love You to the Stars and Back,Antoinette Jadaone,Philippines,"Comedies, International Movies, Romantic Movies",Asia
Movie,Sakaling Maging Tayo,JP Habac,Philippines,"International Movies, Romantic Movies",Asia
TV Show,Schulz Saves America,Alexx Media,United States,"Stand-Up Comedy & Talk Shows, TV Comedies",North America
TV Show,Anitta: Made In Honório,"Andrucha Waddington, Pedro Waddington",Brazil,"Docuseries, International TV Shows",South America
Movie,Bwakaw,Jun Lana,"Philippines, Canada, United Kingdom, United States","Dramas, International Movies, LGBTQ Movies",Asia
Movie,Incarnate,Brad Peyton,United States,"Horror Movies, Thrillers",North America
Movie,Lee Daniels' The Butler,Lee Daniels,United States,Dramas,North America
Movie,Nocturnal Animals,Tom Ford,United States,"Dramas, Thrillers",North America
Movie,Vir Das: Outside In - The Lockdown Special,Vir Das,India,Stand-Up Comedy,Asia
Movie,Grizzlies,Miranda de Pencier,Canada,"Dramas, Independent Movies, Sports Movies",North America
Movie,The Professor and the Madman,Farhad Safinia,"Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong","Dramas, Independent Movies",Europe
Movie,A California Christmas,Shaun Paul Piccinino,United States,"Comedies, Romantic Movies",North America
Movie,Giving Voice,"James D. Stern, Fernando Villena",United States,Documentaries,North America
Movie,The Prom,Ryan Murphy,United States,"Comedies, LGBTQ Movies, Music & Musicals",North America
Movie,Torbaaz,Girish Malik,India,"Dramas, International Movies, Sports Movies",Asia
Movie,Funny Boy,Deepa Mehta,"Canada, United States","Dramas, LGBTQ Movies",North America
Movie,Just The Way You Are,Theodore Boborol,Philippines,"International Movies, Romantic Movies",Asia
Movie,She's the One,Mae Czarina Cruz,Philippines,"Dramas, International Movies, Romantic Movies",Asia
Movie,The Panti Sisters,Jun Lana,Philippines,"Comedies, International Movies, LGBTQ Movies",Asia
Movie,"Kalel, 15",Jun Lana,Philippines,"Dramas, Independent Movies, International Movies",Asia
Movie,Rose Island,Sydney Sibilia,Italy,"Comedies, Dramas, International Movies",Europe
Movie,André & his olive tree,Josiah Ng,Singapore,"Documentaries, International Movies",Asia
Movie,Bobbleheads The Movie,Kirk Wise,United States,"Children & Family Movies, Comedies",North America
Movie,Spirit Riding Free: Ride Along Adventure,"Beth Sleven, Allan Jacobsen, Kevin Wotton",United States,Children & Family Movies,North America
Movie,Triple 9,John Hillcoat,United States,"Dramas, Thrillers",North America
Movie,Ava,Tate Taylor,United States,"Action & Adventure, Dramas",North America
TV Show,Detention,"Su I-Hsuan, Chuang Shiang-an, Liu Yi",Taiwan,"International TV Shows, TV Dramas, TV Horror",Asia
Movie,Mighty Express: A Mighty Christmas,Clint Butler,Canada,Children & Family Movies,North America
Movie,Captain Underpants Mega Blissmas,"Erik Kling, Kevin Peaty",United States,"Children & Family Movies, Comedies",North America
Movie,Christmas Crossfire,Detlev Buck,Germany,"Comedies, International Movies, Thrillers",Europe
Movie,MANK,David Fincher,United States,"Dramas, Independent Movies",North America
Movie,You Are My Home,Amanda Raymond,United States,"Children & Family Movies, Dramas",North America
Movie,Between Maybes,Jason Paul Laxamana,Philippines,"Dramas, International Movies, Romantic Movies",Asia
Movie,Break,Marc Fouchard,"France, Belgium","Comedies, Dramas, International Movies",Europe
Movie,Just Another Christmas,Roberto Santucci,Brazil,"Comedies, International Movies",South America
Movie,Must Be... Love,Dado C. Lumibao,Philippines,"Comedies, Dramas, International Movies",Asia
Movie,Ari Eldjárn: Pardon My Icelandic,August Jakobsson,Iceland,Stand-Up Comedy,Europe
Movie,Fierce,Anna Wieczur-Bluszcz,Poland,"Comedies, Dramas, International Movies",Europe
Movie,3 Days to Kill,McG,"United States, France, Serbia",Action & Adventure,North America
Movie,Angela's Christmas Wish,Damien O’Connor,United States,Children & Family Movies,North America
Movie,Angels & Demons,Ron Howard,"United States, Italy",Thrillers,North America
Movie,Chef,Jon Favreau,United States,"Comedies, Independent Movies",North America
Movie,Effie Gray,Richard Laxton,United Kingdom,"Dramas, International Movies, Romantic Movies",Europe
Movie,Monster House,Gil Kenan,United States,"Children & Family Movies, Comedies",North America
Movie,Natalie Palamides: Nate - A One Man Show,Phil Burgers,United States,Comedies,North America
Movie,Peppermint,Pierre Morel,"Hong Kong, United States",Action & Adventure,Asia
Movie,Quigley Down Under,Simon Wincer,"Australia, United States",Action & Adventure,Oceania
Movie,The Da Vinci Code,Ron Howard,"United States, Malta, France, United Kingdom",Thrillers,North America
Movie,The Happytime Murders,Brian Henson,"United States, China, Canada","Action & Adventure, Comedies",North America
Movie,U-Turn,Derick Cabrido,Philippines,"Horror Movies, International Movies",Asia
Movie,Finding Agnes,Marla M. Ancheta,Philippines,"Dramas, International Movies",Asia
Movie,Rust Creek,Jen McGowan,United States,Thrillers,North America
Movie,Spookley and the Christmas Kittens,Bernie Denk,United States,Children & Family Movies,North America
Movie,The 2nd,Brian Skiba,United States,Action & Adventure,North America
Movie,A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo",United States,Children & Family Movies,North America
Movie,Dance Dreams: Hot Chocolate Nutcracker,Oliver Bokelberg,United States,"Children & Family Movies, Documentaries",North America
Movie,Don’t Listen,Ángel Gómez Hernández,Spain,"Horror Movies, International Movies",Europe
Movie,The Beast,Ludovico Di Martino,Italy,"Action & Adventure, International Movies",Europe
Movie,The Call,Lee Chung-hyun,South Korea,"International Movies, Thrillers",Asia
Movie,Fantastica,Barry Gonzalez,Philippines,"Comedies, International Movies, LGBTQ Movies",Asia
Movie,Larry the Cable Guy: Remain Seated,Brian Volk-Weiss,United States,Stand-Up Comedy,North America
Movie,Mosul,Matthew Michael Carnahan,United States,"Action & Adventure, Dramas, International Movies",North America
Movie,Unexpectedly Yours,Cathy Garcia-Molina,Philippines,"Comedies, International Movies, Romantic Movies",Asia
Movie,Ghosts of War,Eric Bress,United Kingdom,Horror Movies,Europe
Movie,Shawn Mendes: Live in Concert,Paul Dugdale,"United Kingdom, United States",Music & Musicals,Europe
Movie,The Christmas Chronicles: Part Two,Chris Columbus,Canada,"Children & Family Movies, Comedies",North America
Movie,Andhakaaram,V Vignarajan,India,"Horror Movies, International Movies, Thrillers",Asia
TV Show,Before 30,BB Sasore,Nigeria,"International TV Shows, Romantic TV Shows, TV Comedies",Africa
Movie,Dragons: Rescue Riders: Huttsgalor Holiday,"Greg Rankin, TJ Sullivan",United States,"Children & Family Movies, Comedies",North America
Movie,Hillbilly Elegy,Ron Howard,United States,Dramas,North America
Movie,Notes for My Son,Carlos Sorín,Argentina,"Dramas, International Movies",South America
Movie,Hard Kill,Matt Eskandari,United States,Action & Adventure,North America
Movie,Shawn Mendes: In Wonder,Grant Singer,United States,"Documentaries, Music & Musicals",North America
Movie,The Suit,Mohammad Adel,Egypt,"Action & Adventure, Comedies, International Movies",Africa
Movie,Dolly Parton’s Christmas on the Square,Debbie Allen,United States,"Children & Family Movies, Music & Musicals",North America
Movie,Machete Kills,Robert Rodriguez,"United States, Russia",Action & Adventure,North America
Movie,40 Sticks,Victor Gatonye,Kenya,"International Movies, Thrillers",Africa
Movie,Alien Xmas,Stephen Chiodo,United States,Children & Family Movies,North America
Movie,The App That Stole Christmas,Monica Floyd,United States,"Children & Family Movies, Comedies",North America
Movie,Black Friday,Anurag Kashyap,India,"Dramas, International Movies",Asia
Movie,Bodyguard,Siddique,India,"Action & Adventure, Comedies, International Movies",Asia
Movie,Break Ke Baad,Danish Aslam,India,"Comedies, International Movies, Music & Musicals",Asia
Movie,Hawaizaada,Vibhu Virender Puri,India,"Dramas, International Movies, Romantic Movies",Asia
Movie,My Amnesia Girl,Cathy Garcia-Molina,Philippines,"International Movies, Romantic Movies",Asia
Movie,Raman Raghav 2.0,Anurag Kashyap,India,"International Movies, Thrillers",Asia
Movie,Singham,Rohit Shetty,India,"Action & Adventure, Dramas, International Movies",Asia
Movie,TE3N,Ribhu Dasgupta,India,"Dramas, International Movies, Thrillers",Asia
Movie,The Princess Switch: Switched Again,Mike Rohl,United States,"Children & Family Movies, Comedies, Dramas",North America
Movie,Three Words to Forever,Cathy Garcia-Molina,Philippines,"Comedies, Dramas, International Movies",Asia
Movie,Well Done Abba,Shyam Benegal,India,"Comedies, International Movies",Asia
Movie,Ainu Mosir,Takeshi Fukunaga,"United States, Japan","Dramas, International Movies",North America
Movie,Kevin Hart: Zero F**ks Given,Leslie Small,United States,Stand-Up Comedy,North America
Movie,Loving,Jeff Nichols,"United Kingdom, United States","Dramas, Romantic Movies",Europe
Movie,A Very Country Christmas,Justin G. Dyck,"United States, Canada","Music & Musicals, Romantic Movies",North America
Movie,Cloudy with a Chance of Meatballs 2,"Cody Cameron, Kris Pearn",United States,"Children & Family Movies, Comedies",North America
Movie,Hometown Holiday,Justin G. Dyck,Canada,Romantic Movies,North America
Movie,White Christmas,Michael Curtiz,United States,"Children & Family Movies, Classic Movies, Comedies",North America
Movie,Killer Cove,Damián Romay,United States,Thrillers,North America
Movie,Fukrey Boyzzz: Space Mein Fukrapanti,Avinash Walzade,India,"Children & Family Movies, Comedies",Asia
Movie,Jingle Jangle: A Christmas Journey,David E. Talbert,United States,"Children & Family Movies, Music & Musicals",North America
Movie,The Life Ahead,Edoardo Ponti,Italy,"Dramas, International Movies",Europe
TV Show,The Minions of Midas,Mateo Gil,Spain,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Europe
Movie,A Very Special Love,Cathy Garcia-Molina,Philippines,"International Movies, Romantic Movies",Asia
Movie,First Love,Paul Soriano,Philippines,"Dramas, International Movies, Romantic Movies",Asia
Movie,Fruitvale Station,Ryan Coogler,United States,"Dramas, Independent Movies",North America
Movie,Ludo,Anurag Basu,India,"Comedies, Dramas, International Movies",Asia
Movie,Memories of a Teenager,Lucas Santa Ana,Argentina,"Dramas, International Movies, LGBTQ Movies",South America
Movie,Prom Night,Nelson McCormick,"United States, Canada",Horror Movies,North America
TV Show,A Queen Is Born,Carla Barros,Brazil,"International TV Shows, Reality TV",South America
Movie,What We Wanted,Ulrike Kofler,Austria,"Dramas, International Movies",Europe
Movie,Citation,Kunle Afolayan,Nigeria,"Dramas, International Movies",Africa
Movie,Girl's Revenge,Weica Wang,Taiwan,"Dramas, International Movies",Asia
Movie,The Endless Trench,"Aitor Arregi, Jon Garaño, Jose Mari Goenaga","Spain, France, Canada","Dramas, Independent Movies, International Movies",Europe
Movie,The Late Bloomer,Kevin Pollak,United States,Comedies,North America
Movie,A New York Christmas Wedding,Otoja Abit,United States,"Dramas, LGBTQ Movies, Romantic Movies",North America
Movie,Alone/Together,Antoinette Jadaone,Philippines,"Dramas, International Movies, Romantic Movies",Asia
Movie,Midnight at the Magnolia,Maxwell McGuire,Canada,"Comedies, Romantic Movies",North America
Movie,One More Try,Ruel S. Bayani,Philippines,"Dramas, International Movies, Romantic Movies",Asia
Movie,Operation Christmas Drop,Martin Wood,United States,"Children & Family Movies, Comedies, Romantic Movies",North America
Movie,Christmas with a Prince,Justin G. Dyck,Canada,"Comedies, Dramas, Romantic Movies",North America
Movie,Miss India,Narendra Nath,India,"Dramas, International Movies",Asia
Movie,Felix Lobrecht: Hype,Jan-Peter Horns,Germany,Stand-Up Comedy,Europe
Movie,MOTHER,Tatsushi Omori,Japan,"Dramas, International Movies",Asia
Movie,Prospect,"Zeek Earl, Christopher Caldwell","Canada, United States","Sci-Fi & Fantasy, Thrillers",North America
Movie,Christmas Break-In,Michael Kampa,United States,"Children & Family Movies, Comedies",North America
Movie,Elf Pets: A Fox Cub’s Christmas Tale,Chanda Bell,United States,Children & Family Movies,North America
Movie,Elf Pets: Santa’s Reindeer Rescue,Chanda Bell,United States,Children & Family Movies,North America
Movie,Elliot the Littlest Reindeer,Jennifer Westcott,Canada,Children & Family Movies,North America
Movie,Little Monsters,Richard Greenberg,United States,"Children & Family Movies, Comedies",North America
Movie,Mile 22,Peter Berg,"United States, China, Colombia",Action & Adventure,North America
Movie,Piercing,Nicolas Pesce,United States,"Dramas, Independent Movies, Thrillers",North America
Movie,Snowden,Oliver Stone,"United Kingdom, France, Germany, United States","Dramas, Thrillers",Europe
Movie,The Impossible,J.A. Bayona,"Spain, Thailand, United States",Dramas,Europe
Movie,The Next Karate Kid,Christopher Cain,United States,"Action & Adventure, Dramas, Sports Movies",North America
Movie,Wheels of Fortune,Shaun Paul Piccinino,United States,"Comedies, Sports Movies",North America
TV Show,Afronta! Facing It!,Juliana Vicente,Brazil,"Docuseries, International TV Shows",South America
Movie,The 12th Man,Harald Zwart,Norway,"Action & Adventure, Dramas, International Movies",Europe
Movie,Hidden in Plain Sight,Stacia Crawford,United States,"Dramas, Independent Movies, Thrillers",North America
Movie,His House,Remi Weekes,United Kingdom,"Horror Movies, Independent Movies",Europe
Movie,In Line,Tope Oshin,Nigeria,"Dramas, International Movies",Africa
Movie,Kaali Khuhi,Terrie Samundra,India,"Horror Movies, International Movies",Asia
Movie,Rogue City,Olivier Marchal,France,"Dramas, International Movies, Thrillers",Europe
Movie,The Day of the Lord,Santiago Alvarado Ilarri,"Mexico, Spain","Horror Movies, International Movies",North America
